"","country_name","total_surveyed","map_region","total_science","prop_sci"
"92","New Zealand",1002,"Asia and Australia",627,0.625748502994012
"93","Nicaragua",1000,"Americas",443,0.443
"94","Niger",1000,"Sub-Saharan Africa",272,0.272
"95","Nigeria",1000,"Sub-Saharan Africa",411,0.411
"96","Norway",1000,"Europe",817,0.817
"97","Pakistan",1000,"Asia and Australia",378,0.378
"98","Palestinian Territories",1000,"Middle East and North Africa",580,0.58
"99","Panama",1000,"Americas",448,0.448
"100","Paraguay",1000,"Americas",364,0.364
"101","Peru",1000,"Americas",510,0.51
"102","Philippines",1000,"Asia and Australia",556,0.556
"103","Poland",1000,"Former Soviet Union",666,0.666
"104","Portugal",1001,"Europe",656,0.655344655344655
"105","Republic of Congo",1000,"Sub-Saharan Africa",505,0.505
"106","Romania",1002,"Former Soviet Union",510,0.508982035928144
"107","Russia",2000,"Former Soviet Union",1168,0.584
"108","Rwanda",1000,"Sub-Saharan Africa",120,0.12
"109","Saudi Arabia",1016,"Middle East and North Africa",594,0.584645669291339
"110","Senegal",1000,"Sub-Saharan Africa",393,0.393
"111","Serbia",1000,"Europe",570,0.57
"112","Sierra Leone",1000,"Sub-Saharan Africa",231,0.231
"113","Singapore",1000,"Asia and Australia",614,0.614
"114","Slovakia",1000,"Former Soviet Union",497,0.497
"115","Slovenia",1000,"Europe",706,0.706
"116","South Africa",1000,"Sub-Saharan Africa",331,0.331
"117","South Korea",1014,"Asia and Australia",482,0.47534516765286
"118","Spain",1000,"Europe",723,0.723
"119","Sri Lanka",1109,"Asia and Australia",690,0.622182146077547
"120","Sweden",1000,"Europe",730,0.73
"121","Switzerland",1000,"Europe",712,0.712
"122","Taiwan",1000,"Asia and Australia",456,0.456
"123","Tajikistan",1000,"Asia and Australia",561,0.561
"124","Tanzania",1000,"Sub-Saharan Africa",472,0.472
"125","Thailand",1000,"Asia and Australia",362,0.362
"126","The Gambia",1000,"Sub-Saharan Africa",238,0.238
"127","Togo",1000,"Sub-Saharan Africa",443,0.443
"128","Tunisia",1001,"Middle East and North Africa",487,0.486513486513487
"129","Turkey",1000,"Middle East and North Africa",615,0.615
"130","Turkmenistan",1000,"Asia and Australia",797,0.797
"131","Uganda",1000,"Sub-Saharan Africa",576,0.576
"132","Ukraine",1000,"Former Soviet Union",693,0.693
"133","United Arab Emirates",1005,"Middle East and North Africa",628,0.624875621890547
"134","United Kingdom",1000,"Europe",681,0.681
"135","United States",1006,"Americas",839,0.833996023856859
"136","Uruguay",1000,"Americas",428,0.428
"137","Uzbekistan",1000,"Asia and Australia",507,0.507
"138","Venezuela",1000,"Americas",417,0.417
"139","Vietnam",1012,"Asia and Australia",230,0.227272727272727
"140","Yemen",1000,"Middle East and North Africa",348,0.348
"141","Zambia",1000,"Sub-Saharan Africa",497,0.497
"142","Zimbabwe",1000,"Sub-Saharan Africa",469,0.469
