"","country_name","total_surveyed","map_region","total_effective","percent_eff"
"68","Latvia",1021,"Europe",259,0.253672869735553
"69","Lebanon",1000,"Middle East and North Africa",692,0.692
"70","Liberia",1000,"Sub-Saharan Africa",545,0.545
"71","Libya",1003,"Middle East and North Africa",524,0.522432701894317
"72","Lithuania",1000,"Europe",298,0.298
"73","Luxembourg",1000,"Europe",430,0.43
"74","Macedonia",1008,"Europe",493,0.489087301587302
"75","Madagascar",1000,"Sub-Saharan Africa",642,0.642
"76","Malawi",1000,"Sub-Saharan Africa",786,0.786
"77","Malaysia",1000,"Asia and Australia",412,0.412
"78","Mali",1000,"Sub-Saharan Africa",628,0.628
"79","Malta",1007,"Europe",539,0.535253227408143
"80","Mauritania",1000,"Sub-Saharan Africa",604,0.604
"81","Mauritius",1000,"Sub-Saharan Africa",524,0.524
"82","Mexico",1034,"Americas",713,0.689555125725339
"83","Moldova",1000,"Former Soviet Union",277,0.277
"84","Mongolia",1000,"Asia and Australia",581,0.581
"85","Montenegro",1000,"Europe",321,0.321
"86","Morocco",1001,"Middle East and North Africa",637,0.636363636363636
"87","Mozambique",1000,"Sub-Saharan Africa",562,0.562
"88","Myanmar",1000,"Asia and Australia",772,0.772
"89","Namibia",1005,"Sub-Saharan Africa",399,0.397014925373134
"90","Nepal",1000,"Asia and Australia",542,0.542
"91","Netherlands",1001,"Europe",359,0.358641358641359
"92","New Zealand",1002,"Asia and Australia",568,0.56686626746507
"93","Nicaragua",1000,"Americas",714,0.714
"94","Niger",1000,"Sub-Saharan Africa",550,0.55
"95","Nigeria",1000,"Sub-Saharan Africa",594,0.594
"96","Norway",1000,"Europe",626,0.626
"97","Pakistan",1000,"Asia and Australia",521,0.521
"98","Palestinian Territories",1000,"Middle East and North Africa",823,0.823
"99","Panama",1000,"Americas",583,0.583
"100","Paraguay",1000,"Americas",509,0.509
"101","Peru",1000,"Americas",388,0.388
"102","Philippines",1000,"Asia and Australia",543,0.543
"103","Poland",1000,"Former Soviet Union",617,0.617
"104","Portugal",1001,"Europe",409,0.408591408591409
"105","Republic of Congo",1000,"Sub-Saharan Africa",608,0.608
"106","Romania",1002,"Former Soviet Union",588,0.586826347305389
"107","Russia",2000,"Former Soviet Union",728,0.364
"108","Rwanda",1000,"Sub-Saharan Africa",743,0.743
"109","Saudi Arabia",1016,"Middle East and North Africa",607,0.59744094488189
"110","Senegal",1000,"Sub-Saharan Africa",564,0.564
"111","Serbia",1000,"Europe",528,0.528
"112","Sierra Leone",1000,"Sub-Saharan Africa",750,0.75
"113","Singapore",1000,"Asia and Australia",318,0.318
"114","Slovakia",1000,"Former Soviet Union",597,0.597
"115","Slovenia",1000,"Europe",456,0.456
"116","South Africa",1000,"Sub-Saharan Africa",266,0.266
"117","South Korea",1014,"Asia and Australia",226,0.222879684418146
"118","Spain",1000,"Europe",627,0.627
"119","Sri Lanka",1109,"Asia and Australia",548,0.494138863841298
"120","Sweden",1000,"Europe",536,0.536
"121","Switzerland",1000,"Europe",306,0.306
"122","Taiwan",1000,"Asia and Australia",295,0.295
"123","Tajikistan",1000,"Asia and Australia",827,0.827
"124","Tanzania",1000,"Sub-Saharan Africa",737,0.737
"125","Thailand",1000,"Asia and Australia",606,0.606
"126","The Gambia",1000,"Sub-Saharan Africa",683,0.683
"127","Togo",1000,"Sub-Saharan Africa",405,0.405
"128","Tunisia",1001,"Middle East and North Africa",531,0.53046953046953
"129","Turkey",1000,"Middle East and North Africa",580,0.58
"130","Turkmenistan",1000,"Asia and Australia",744,0.744
"131","Uganda",1000,"Sub-Saharan Africa",562,0.562
"132","Ukraine",1000,"Former Soviet Union",297,0.297
"133","United Arab Emirates",1005,"Middle East and North Africa",504,0.501492537313433
"134","United Kingdom",1000,"Europe",597,0.597
"135","United States",1006,"Americas",611,0.607355864811133
"136","Uruguay",1000,"Americas",529,0.529
"137","Uzbekistan",1000,"Asia and Australia",814,0.814
"138","Venezuela",1000,"Americas",737,0.737
"139","Vietnam",1012,"Asia and Australia",205,0.202569169960474
"140","Yemen",1000,"Middle East and North Africa",659,0.659
"141","Zambia",1000,"Sub-Saharan Africa",528,0.528
"142","Zimbabwe",1000,"Sub-Saharan Africa",726,0.726
